"n","z","kinetic energy","potential energy"
0,8.533333333,3879.320815414,3544076.366278640
1,8.533333333,3905.317700396,3278796.275578904
2,8.533333333,3982.920145820,4356202.949390421
3,8.533333333,4110.033454222,3403870.095335349
4,8.533333333,4292.006696016,3231292.730422434
5,8.533333333,4537.072319683,3506251.665120132
6,8.533333333,4853.791852392,3523405.424067641
7,8.533333333,5255.394080147,3381984.171077585
8,8.533333333,5762.279768503,3046208.004462974
9,8.533333333,6411.024987523,4451909.957460709
10,8.533333333,7248.995092577,3369636.995223893
11,8.533333333,8375.953388392,3273418.280143785
12,8.533333333,9850.233985540,4266240.608214994
13,8.533333333,11668.160495629,3718454.134019931
14,8.533333333,13974.333743347,4014773.364287644
15,8.533333333,17054.936936443,4261808.948021490
16,8.533333333,21168.246709894,4859126.609585552
17,8.533333333,26715.009557841,4266395.322962741
18,8.533333333,33444.771336538,4603859.295425097
19,8.533333333,37856.576495753,5275261.483011010
20,8.533333333,38868.791277599,7577081.873738809
21,8.533333333,37745.862830706,4527174.065862460
22,8.533333333,36214.558376539,3674793.930366910
23,8.533333333,34712.627536582,6046672.418381730
24,8.533333333,33218.675143603,5406692.892853409
25,8.533333333,31700.930251559,4772438.153444887
26,8.533333333,30264.503647836,9329269.946269356
27,8.533333333,28790.602907012,3572174.550699305
28,8.533333333,27523.413933529,4224241.536449596
29,8.533333333,26443.294648373,4031514.031226887
30,8.533333333,25465.001325241,5297909.570236358
31,8.533333333,24497.018649815,4512234.822755202
32,8.533333333,23573.696423620,4026526.841920358
33,8.533333333,22747.069078293,3169193.464246601
34,8.533333333,22024.333575304,3640685.536311362
35,8.533333333,21431.323081481,4045639.840473557
36,8.533333333,20903.223158380,3513630.528694283
37,8.533333333,20402.184707361,3652126.523616949
38,8.533333333,20076.794783649,4995191.853752710
39,8.533333333,19961.818014854,6637991.956644629
40,8.533333333,19973.317007054,6750185.317224801
41,8.533333333,20147.496527960,4343820.142267579
42,8.533333333,20446.048238052,5961686.514483117
43,8.533333333,20733.889667267,4419862.809104124
44,8.533333333,20752.110284078,4003768.218445323
45,8.533333333,20469.781284966,3881259.218750798
46,8.533333333,19828.665497911,3532957.817549279
47,8.533333333,19060.343361562,3495132.799362454
48,8.533333333,18382.177868692,4036840.088437994
49,8.533333333,17865.384976615,4857765.794110257
50,8.533333333,17424.111314515,3797115.913979761
51,8.533333333,17045.393131256,4377824.591793125
52,8.533333333,16664.726291048,3938457.463938267
53,8.533333333,16358.574140004,4337027.392921154
54,8.533333333,16094.410959607,4262940.857543111
55,8.533333333,15837.182742512,5419840.969835993
56,8.533333333,15585.059028361,4140040.220817379
57,8.533333333,15398.825935740,4554635.637038807
58,8.533333333,15233.156621162,4304205.639269091
59,8.533333333,15093.093588064,4473229.305549861
60,8.533333333,14887.441471964,6704890.750368054
61,8.533333333,14654.355883408,4915890.699000126
62,8.533333333,14412.628098570,4822562.806136969
63,8.533333333,14117.513508665,4741523.879608870
64,8.533333333,13885.094129265,5456201.149040448
65,8.533333333,13726.068666738,4763381.904328444
66,8.533333333,13655.975318873,8266803.188515710
67,8.533333333,13660.658534293,4735838.938473531
68,8.533333333,13788.797832383,5656047.761998742
69,8.533333333,13932.574103259,5403485.514507465
70,8.533333333,13856.880149477,5091308.536879828
71,8.533333333,13651.573682060,5161458.870483462
72,8.533333333,13451.768984001,7514533.668386476
73,8.533333333,13331.518296733,5441331.963303575
74,8.533333333,13249.189547152,5640695.535930774
75,8.533333333,13220.223395255,5511438.922203016
76,8.533333333,13197.715560628,8560902.809638280
77,8.533333333,13119.459178897,5549526.990904281
78,8.533333333,13012.469238283,5742190.808243209
79,8.533333333,12940.339676592,6907001.577917052
80,8.533333333,12894.583075810,5905254.530031594
81,8.533333333,12729.480057623,8517620.868940944
82,8.533333333,12575.375849573,6638705.070841662
83,8.533333333,12496.400069001,6540820.784431128
84,8.533333333,12409.109304188,6898419.774899245
85,8.533333333,12237.101499706,17967810.603295378
86,8.533333333,12072.843388220,6922885.642483954
87,8.533333333,11980.155939267,8476401.095716752
88,8.533333333,11932.701573472,6848967.344786587
89,8.533333333,11891.482415647,7410057.647130893
90,8.533333333,11856.123963317,6956550.751789731
91,8.533333333,11839.839169191,7254183.561466627
92,8.533333333,11860.331876778,7098621.835185485
93,8.533333333,11900.280421391,7600185.859817018
94,8.533333333,11945.559173170,11979233.622707203
95,8.533333333,11987.230139257,9211131.386819854
96,8.533333333,12065.036541434,7420062.614480980
97,8.533333333,12196.849445675,7651146.408631478
98,8.533333333,12371.136469051,7806119.036688819
99,8.533333333,12607.308584442,7945077.121348389
100,8.533333333,12829.880137367,9740230.096525654
101,8.533333333,12979.165999397,8319174.973422058
102,8.533333333,13024.235889085,7972114.872829711
103,8.533333333,12996.299884142,7833405.325169014
104,8.533333333,12972.600509069,14079619.093135700
105,8.533333333,12990.976419970,10024277.204529086
106,8.533333333,13042.123726348,8495115.217291307
107,8.533333333,13138.746352341,8595797.663653489
108,8.533333333,13195.937075469,10697062.569122825
109,8.533333333,13131.473001481,8726615.428295258
110,8.533333333,13042.012629248,9361439.552828247
111,8.533333333,12948.333762004,9089633.433170712
112,8.533333333,12831.335849777,10895981.537803641
113,8.533333333,12722.497536693,9464901.423843104
114,8.533333333,12664.506478280,9544475.412383663
115,8.533333333,12638.761989897,10217152.647843726
116,8.533333333,12607.575909877,9965659.837265449
117,8.533333333,12551.702109744,9808123.089802524
118,8.533333333,12425.848875790,9968458.639781967
119,8.533333333,12204.276079826,11719871.516039833
120,8.533333333,11983.467150986,9855196.204695810
121,8.533333333,11817.062569768,9567837.644369658
122,8.533333333,11694.944640448,9976938.116844440
123,8.533333333,11633.525318036,9532790.244322112
124,8.533333333,11589.619590325,9901242.627993234
125,8.533333333,11538.389146137,9736967.894956660
126,8.533333333,11501.678041849,10015701.574218741
127,8.533333333,11529.897915170,9934042.480583448
128,8.533333333,11627.788806632,10056635.279290425
129,8.533333333,11783.318937004,10008671.960941736
130,8.533333333,12015.097361976,10116542.380137261
131,8.533333333,12346.391988135,10377448.426219827
132,8.533333333,12699.273522326,10527018.329438144
133,8.533333333,12994.296815122,10900330.087706432
134,8.533333333,13137.273752740,10721033.179341078
135,8.533333333,13064.784360331,10833114.797801230
136,8.533333333,12846.578887421,12021784.007443804
137,8.533333333,12602.853039843,11171128.224047136
138,8.533333333,12397.187631297,11843660.653643871
139,8.533333333,12229.268202108,10870527.505988782
140,8.533333333,12104.634619151,11527581.050306799
141,8.533333333,12034.243753788,11067019.175894808
142,8.533333333,11995.735455556,11198682.718629654
143,8.533333333,12003.582465180,11810484.563781034
144,8.533333333,12090.505508335,12867649.605756134
145,8.533333333,12278.432098097,11294041.277796654
146,8.533333333,12523.139984942,11249402.663510546
147,8.533333333,12708.704868941,11934705.095725890
148,8.533333333,12816.738498187,11903953.877556384
149,8.533333333,12925.993829414,11997833.801303364
150,8.533333333,13091.463152657,11420051.751997234
151,8.533333333,13216.417131489,12365704.118183320
152,8.533333333,13269.482274594,12020251.505774084
153,8.533333333,13199.945120712,12270560.479894886
154,8.533333333,13087.875152018,15400699.299916944
155,8.533333333,12908.669760724,12279852.927754445
156,8.533333333,12734.058299903,12313455.720019540
157,8.533333333,12585.498597444,12545167.045326298
158,8.533333333,12495.111773644,12263927.785833741
159,8.533333333,12473.452061858,14308145.809832791
160,8.533333333,12460.770647452,13763404.666301614
161,8.533333333,12430.860126993,12789096.947893320
162,8.533333333,12381.084180587,12960515.224596331
163,8.533333333,12300.955182451,12772918.509976650
164,8.533333333,12207.180538417,13549173.284650860
165,8.533333333,12148.433804803,13873908.790025983
166,8.533333333,12122.534077664,13872920.852616787
167,8.533333333,12117.561530398,13313197.338263128
168,8.533333333,12107.984384268,15138059.935579427
169,8.533333333,12041.476330035,13544558.365905670
170,8.533333333,11902.699168118,15915303.490417231
171,8.533333333,11708.855849981,14032773.571643362
172,8.533333333,11481.570678425,13743316.224855633
173,8.533333333,11268.358442986,19861546.896486025
174,8.533333333,11068.570935056,14229332.806766795
175,8.533333333,10911.663074463,16845167.749186594
176,8.533333333,10803.942737776,14354271.171831563
177,8.533333333,10746.210653025,20638403.930609662
178,8.533333333,10732.102854638,14426388.498618210
179,8.533333333,10753.703155229,15001479.601611858
180,8.533333333,10826.447793901,15256685.061039114
181,8.533333333,10938.373735979,14774489.898934284
182,8.533333333,11053.583462986,14824112.545237672
183,8.533333333,11180.164411646,14763915.259224815
184,8.533333333,11297.124046938,15155257.248207305
185,8.533333333,11397.422489335,15097140.078904713
186,8.533333333,11444.537068488,15782856.312135873
187,8.533333333,11418.296686157,15076272.689030437
188,8.533333333,11326.256087655,15861831.866591232
189,8.533333333,11190.248692783,15257406.266331583
190,8.533333333,11058.458676716,15251909.903803622
191,8.533333333,10975.470268474,15648036.786559068
192,8.533333333,10938.323594519,15364728.301416405
193,8.533333333,10906.703583447,16363093.906555792
194,8.533333333,10888.578784831,21816817.599432904
195,8.533333333,10879.367667487,15737696.797236314
196,8.533333333,10868.547870441,17415358.609876152
197,8.533333333,10882.713295204,15989078.953117939
198,8.533333333,10914.823869478,16102147.300208896
199,8.533333333,10919.708235653,16334316.255233172
200,8.533333333,10877.558998063,16577582.389663266
201,8.533333333,10807.783068779,16165543.831521319
202,8.533333333,10740.571448979,16232829.797000259
203,8.533333333,10657.752764881,inf
204,8.533333333,10579.665225344,16520972.824216560
205,8.533333333,10535.864163953,16456289.711212041
206,8.533333333,10530.368493968,16447204.690423345
207,8.533333333,10544.443377331,17832567.611373197
208,8.533333333,10596.480577923,20018194.037961602
209,8.533333333,10672.586597670,19646512.433054946
210,8.533333333,10736.293092741,17125192.860949904
211,8.533333333,10797.609831666,16917161.833071060
212,8.533333333,10867.264448214,16718932.182651190
213,8.533333333,10962.261762696,17055008.797699019
214,8.533333333,11071.068018779,16743366.769987710
215,8.533333333,11171.158570876,17610078.628999081
216,8.533333333,11287.858284635,17682456.727620825
217,8.533333333,11488.299432196,28775244.716204830
218,8.533333333,11672.051968167,20114680.156541653
219,8.533333333,11730.816734477,17172036.878972556
220,8.533333333,11802.984996039,17528967.062118288
221,8.533333333,11856.110063339,19454373.723392084
222,8.533333333,11886.663825099,17351611.247101832
223,8.533333333,11951.240696564,17553554.748944882
224,8.533333333,12014.265352867,18550047.283397574
225,8.533333333,12014.524069691,18026120.350790586
226,8.533333333,11950.821254630,17640131.499129012
227,8.533333333,11865.805375847,17706759.776415009
228,8.533333333,11799.337748250,17561750.416602060
229,8.533333333,11694.390784481,17731788.269199558
230,8.533333333,11623.364564232,18998911.860077213
231,8.533333333,11558.236451485,17791114.784946717
232,8.533333333,11465.766873585,17917867.073391635
233,8.533333333,11366.841642611,17953045.997167192
234,8.533333333,11271.880438720,18326472.308466509
235,8.533333333,11129.402067132,18074537.225714300
236,8.533333333,10997.144172395,17917033.657057546
237,8.533333333,10899.102392280,18027826.167369030
238,8.533333333,10819.816263050,18266331.490527153
239,8.533333333,10764.938989003,19072883.549748030
240,8.533333333,10748.749755502,18542481.153229307
241,8.533333333,10770.154550947,18696377.754948683
242,8.533333333,10817.878631364,18302573.807693634
243,8.533333333,10863.436934557,18844767.839682333
244,8.533333333,10935.834093834,19266888.110089824
245,8.533333333,11013.094899798,18674272.912575733
246,8.533333333,11070.037085992,18461821.299036693
247,8.533333333,11127.416646880,19200985.315055463
248,8.533333333,11194.580449775,19095492.083361179
249,8.533333333,11267.829639021,18749036.982561793
250,8.533333333,11341.292880397,19617361.465671536
251,8.533333333,11389.234128465,18660981.547622923
252,8.533333333,11451.470142950,19396400.920681205
253,8.533333333,11573.723784550,18922140.745416526
254,8.533333333,11744.383208476,19531363.818005648
255,8.533333333,11928.794513526,18996595.212989841
256,8.533333333,12077.311825727,20596439.164595880
257,8.533333333,12196.336699882,19370308.345936019
258,8.533333333,12295.309706156,19139759.453676436
259,8.533333333,12420.532298165,19450447.941029780
260,8.533333333,12538.852808259,19544590.239694431
261,8.533333333,12595.911098372,19941149.658525705
262,8.533333333,12559.544024707,19265716.460057411
263,8.533333333,12466.467544859,19779388.096168771
264,8.533333333,12366.911450984,19454096.918279085
265,8.533333333,12283.440100507,19419331.120286833
266,8.533333333,12273.999183583,20150280.424801476
267,8.533333333,12314.013355750,21690524.894599788
268,8.533333333,12359.914708872,19799290.470046740
269,8.533333333,12386.851881209,20304854.693790451
270,8.533333333,12400.657667536,20018237.542341407
271,8.533333333,12392.484954635,20129290.915126141
272,8.533333333,12367.518659802,20021475.468144841
273,8.533333333,12308.388092673,20215577.767466377
274,8.533333333,12197.753143269,23507417.481522281
275,8.533333333,12006.163785075,20261359.956437476
276,8.533333333,11788.637727231,20227944.239266705
277,8.533333333,11579.839063152,20452539.999723595
278,8.533333333,11410.585841216,20410923.932978868
279,8.533333333,11283.363140574,20147730.377250995
280,8.533333333,11184.839830986,20482770.431068782
281,8.533333333,11089.046587948,21307568.701340396
282,8.533333333,10982.997517378,20547400.671377905
283,8.533333333,10872.916302787,20411347.453943040
284,8.533333333,10753.958554032,21671086.973465424
285,8.533333333,10653.131418682,20323423.401322965
286,8.533333333,10591.819481813,21112896.688518956
287,8.533333333,10552.712230846,20426424.050207924
288,8.533333333,10546.792463849,20875876.493015796
289,8.533333333,10566.931637107,20414776.450862918
290,8.533333333,10582.149668603,20702831.533414617
291,8.533333333,10586.860202323,20763666.899898764
292,8.533333333,10566.089780920,21587301.590970404
293,8.533333333,10547.745160599,21331186.334190529
294,8.533333333,10544.581244341,20593093.885536663
295,8.533333333,10546.405792092,20872777.712459534
296,8.533333333,10571.643576564,20649362.399685524
297,8.533333333,10619.038382925,22438080.519044284
298,8.533333333,10695.960566113,21492535.463159040
299,8.533333333,10760.241462995,20961549.374274340
300,8.533333333,10799.757085454,20952975.267370384
301,8.533333333,10834.478246062,20916269.619778913
302,8.533333333,10887.860813188,21000263.709898781
303,8.533333333,10958.418703437,21192079.231702212
304,8.533333333,11050.134644168,21869748.329915624
305,8.533333333,11142.542115148,21960964.082679372
306,8.533333333,11206.424361120,21023062.291280214
307,8.533333333,11275.999408281,21572435.759315643
308,8.533333333,11374.217386379,21054055.195867527
309,8.533333333,11467.570595855,21226872.746945586
310,8.533333333,11557.667284849,20896877.706972677
311,8.533333333,11610.163106069,21099815.375755657
312,8.533333333,11632.439490409,21068445.603667300
313,8.533333333,11656.786198283,21581518.803692400
314,8.533333333,11703.485219998,21487380.341028731
315,8.533333333,11747.712333115,21204864.958896611
316,8.533333333,11768.084703733,21747789.475834243
317,8.533333333,11774.823916348,21870382.312265474
318,8.533333333,11783.929067518,21085919.742134415
319,8.533333333,11780.913764630,21277723.843872588
320,8.533333333,11765.035298552,21877436.945075206
321,8.533333333,11740.194123137,21239277.806536108
322,8.533333333,11703.953375172,21136859.591865283
323,8.533333333,11642.861000784,21159410.898613874
324,8.533333333,11565.755103856,21226198.172828358
325,8.533333333,11472.137273256,21530948.160058986
326,8.533333333,11353.111879844,21447987.245998465
327,8.533333333,11239.959544095,21579554.407108746
328,8.533333333,11130.970838941,22256883.595447578
329,8.533333333,10991.050746772,21286620.666481309
330,8.533333333,10832.751063030,21236918.009336226
331,8.533333333,10668.150832964,21310019.044524737
332,8.533333333,10505.671706318,21183728.779984351
333,8.533333333,10364.581255658,21329732.034087300
334,8.533333333,10246.958852985,21117806.853098605
335,8.533333333,10157.639908430,21203584.289139226
336,8.533333333,10109.792081755,22467963.037761174
337,8.533333333,10096.952916909,21215332.512910508
338,8.533333333,10111.875686945,21445775.911445357
339,8.533333333,10149.734874756,21422310.010772463
340,8.533333333,10206.281750246,21347660.523248844
341,8.533333333,10283.822130556,21328925.908696584
342,8.533333333,10357.385928453,21438198.699933305
343,8.533333333,10432.204659060,21263639.931311857
344,8.533333333,10525.121961330,21353840.534042247
345,8.533333333,10608.119583151,24332564.710643746
346,8.533333333,10653.401988735,21351875.373004459
347,8.533333333,10693.316219045,21797555.650507007
348,8.533333333,10718.645603741,21460298.650650982
349,8.533333333,10748.727348836,22412171.920520827
350,8.533333333,10778.533910254,23437430.153860662
351,8.533333333,10812.066014840,21370314.523380958
352,8.533333333,10850.435542065,21701452.478541151
353,8.533333333,10876.217680404,21623990.813935723
354,8.533333333,10881.334107590,21452821.172472790
355,8.533333333,10880.942481368,21950569.109203771
356,8.533333333,10855.225845745,21848754.694633275
357,8.533333333,10809.722695976,21711513.678620301
358,8.533333333,10771.779124577,21846162.400647633
359,8.533333333,10715.902281647,21766016.554476291
360,8.533333333,10649.555067735,22080073.382035431
361,8.533333333,10573.117215270,21622743.488473792
362,8.533333333,10481.359354314,21705508.755339105
363,8.533333333,10394.460063962,21735772.440679796
364,8.533333333,10318.538901272,22054040.224357288
365,8.533333333,10250.820776580,21969048.023145195
366,8.533333333,10188.132254675,21744090.659067947
367,8.533333333,10133.466147870,21936055.793918256
368,8.533333333,10101.725938897,22224928.356040388
369,8.533333333,10076.904169164,23434620.057281751
370,8.533333333,10074.847405583,22221845.776166722
371,8.533333333,10075.640617756,22602645.462453648
372,8.533333333,10069.571753726,22561407.317792028
373,8.533333333,10066.097967331,22180432.208915651
374,8.533333333,10066.187169497,22643502.139985595
375,8.533333333,10073.052782993,22590422.519083519
376,8.533333333,10087.823904774,22876594.523808632
377,8.533333333,10115.740320290,22434317.002249103
378,8.533333333,10162.484148462,22312441.309691947
379,8.533333333,10210.345179762,22490458.111801174
380,8.533333333,10263.787581718,22372549.395791072
381,8.533333333,10328.083555054,26320426.089861698
382,8.533333333,10386.695205236,22449374.812436018
383,8.533333333,10405.365755381,22830839.249764696
384,8.533333333,10406.444930594,22983035.486661337
385,8.533333333,10391.016338711,22894829.794327784
386,8.533333333,10372.499376223,22824392.468509905
387,8.533333333,10354.005026044,22691903.681745432
388,8.533333333,10338.442717452,23872944.363482926
389,8.533333333,10326.253361619,23137416.626947381
390,8.533333333,10328.526258010,23326044.099841859
391,8.533333333,10340.359780076,23661157.694739781
392,8.533333333,10350.229557460,23459560.688422695
393,8.533333333,10344.502157342,23233665.189937972
394,8.533333333,10330.853069458,24257113.535293896
395,8.533333333,10314.399400420,22743370.695173740
396,8.533333333,10293.717630894,22725701.127022572
397,8.533333333,10273.350324023,22667040.498057891
398,8.533333333,10264.537851918,23582242.008842792
399,8.533333333,10273.893012358,22729872.794989161
400,8.533333333,10297.985602632,23170558.286682323
401,8.533333333,10342.276606177,23162554.179261919
402,8.533333333,10396.020560224,23965137.724023800
403,8.533333333,10453.192143641,23075063.464189231
404,8.533333333,10520.532198610,23600140.603490356
405,8.533333333,10587.716563892,inf
406,8.533333333,10668.968241065,23267789.019195545
407,8.533333333,10762.497808053,23002014.216091406
408,8.533333333,10843.520110166,23575096.367093068
409,8.533333333,10896.504974355,24986725.557204321
410,8.533333333,10896.627675080,23904828.769781452
411,8.533333333,10839.750181542,23235108.750063404
412,8.533333333,10762.096626314,23348764.196928360
413,8.533333333,10684.067465408,23260187.338386573
414,8.533333333,10608.772477251,23240310.264246568
415,8.533333333,10540.873497287,23071479.879199982
416,8.533333333,10500.965238977,23125591.878801800
417,8.533333333,10469.948454481,24471714.438321307
418,8.533333333,10433.034778968,23303455.846680216
419,8.533333333,10381.290676022,23112563.995740775
420,8.533333333,10313.645607781,23630046.853976883
421,8.533333333,10228.809258071,23807510.481269922
422,8.533333333,10135.633738597,23302165.001871690
423,8.533333333,10048.847928721,23778398.416834325
424,8.533333333,9969.691746131,23682729.383029550
425,8.533333333,9903.517726727,23329553.467217501
426,8.533333333,9850.548452628,23324903.244836163
427,8.533333333,9810.752931756,24650605.521871302
428,8.533333333,9788.504035298,23834966.542676553
429,8.533333333,9767.394763913,23678986.453555938
430,8.533333333,9748.990182751,24246789.156255428
431,8.533333333,9732.902961870,23313943.676757038
432,8.533333333,9722.211084420,23531689.892786849
433,8.533333333,9715.538706359,23959255.553345703
434,8.533333333,9715.849694953,23802621.128720000
435,8.533333333,9727.390121341,24027771.494480725
436,8.533333333,9742.242715566,23392115.870699257
437,8.533333333,9764.966657467,23507754.256099444
438,8.533333333,9816.490030086,23904619.774718173
439,8.533333333,9896.958697440,23525141.600683872
440,8.533333333,9973.429031033,23289902.562057588
441,8.533333333,10034.777192583,23633206.630578518
442,8.533333333,10103.295701773,24692091.522547875
443,8.533333333,10164.172768415,23486367.873762410
444,8.533333333,10217.131146687,23489467.587514017
445,8.533333333,10276.674587312,23850381.499231283
446,8.533333333,10338.605971496,23730363.832421139
447,8.533333333,10383.796133405,23888647.123204108
448,8.533333333,10419.346566483,23519490.978032965
449,8.533333333,10446.809500074,23497696.334767513
450,8.533333333,10440.272460496,23884477.463688090
451,8.533333333,10409.501150358,23679026.778323971
452,8.533333333,10364.063656055,24813440.487703953
453,8.533333333,10313.324659386,23490456.042358488
454,8.533333333,10251.727456936,23624878.421032134
455,8.533333333,10182.889642280,23677390.495174561
456,8.533333333,10108.279194221,23486790.502573501
457,8.533333333,10038.069547025,24275097.119365089
458,8.533333333,9973.675876773,23794214.559299652
459,8.533333333,9917.997616061,23667632.050613854
460,8.533333333,9858.659946449,23611448.025305957
461,8.533333333,9786.674012119,23769426.364768870
462,8.533333333,9682.662178755,23764965.283261761
463,8.533333333,9566.166739160,23600057.222069137
464,8.533333333,9452.880504250,23756759.795206267
465,8.533333333,9345.412600032,23652822.687225234
466,8.533333333,9251.967713190,23723514.913914990
467,8.533333333,9171.624515786,23956612.887621097
468,8.533333333,9103.992110037,inf
469,8.533333333,9068.629457919,23974327.053424332
470,8.533333333,9053.713908870,23609332.616017114
471,8.533333333,9055.775738233,24731447.396653235
472,8.533333333,9082.183114565,23798173.655480944
473,8.533333333,9122.439485345,23827079.102324788
474,8.533333333,9167.351428306,23594384.597254604
475,8.533333333,9215.225457554,inf
476,8.533333333,9257.451990431,23658230.299705077
477,8.533333333,9305.355014258,23560071.001527470
478,8.533333333,9363.357237132,23751554.291806147
479,8.533333333,9430.315528115,23638069.599439144
480,8.533333333,9502.979645598,23993838.422576085
481,8.533333333,9572.336590072,23485080.791949391
482,8.533333333,9641.233254690,25341499.739030067
483,8.533333333,9713.266075210,24431221.394193362
484,8.533333333,9783.665252222,23559751.825838678
485,8.533333333,9855.690662946,23671176.309888050
486,8.533333333,9914.782430379,24105457.012205333
487,8.533333333,9952.721023626,24634846.392661113
488,8.533333333,9974.381632218,24792963.501840182
489,8.533333333,9970.863158157,23748620.861385550
490,8.533333333,9955.178183077,23694286.387166247
491,8.533333333,9923.400770578,23684637.682626244
492,8.533333333,9884.135294077,23725590.590554558
493,8.533333333,9851.957975097,24628033.456665967
494,8.533333333,9829.729209222,23816221.990075182
495,8.533333333,9809.721700026,23786073.200930521
496,8.533333333,9794.694100245,23986340.385613952
497,8.533333333,9787.591639010,23624054.977021571
498,8.533333333,9779.675164074,23934284.890454132
499,8.533333333,9761.855608701,23881868.371626738
500,8.533333333,9729.063718322,24121959.052808587
501,8.533333333,9698.563228522,23613700.192720905
502,8.533333333,9666.080223462,23681782.590213709
503,8.533333333,9642.675316059,23793847.157463696
504,8.533333333,9638.997384772,24559054.429516472
505,8.533333333,9658.758249765,23832909.743330102
506,8.533333333,9698.405241037,24303714.635649115
507,8.533333333,9744.282202451,24105646.762626167
508,8.533333333,9788.325947816,24048558.043979339
509,8.533333333,9812.970275176,24000548.433650002
510,8.533333333,9819.390767906,24893148.317947365
511,8.533333333,9822.284697601,23782388.046805561
512,8.533333333,9817.650745549,24520131.105936389
513,8.533333333,9816.746354532,24228356.945916843
514,8.533333333,9824.350953722,24098876.845169738
515,8.533333333,9840.902346422,24001930.222850598
516,8.533333333,9863.534734614,24032073.040671341
517,8.533333333,9899.377546903,23852678.249265011
518,8.533333333,9944.679735106,24152573.149151318
519,8.533333333,9987.613856582,24119662.897637073
520,8.533333333,10030.575221233,25032526.982505307
521,8.533333333,10067.483973005,24327301.734867461
522,8.533333333,10100.764877138,23886761.176347122
523,8.533333333,10124.308668604,24461477.715234134
524,8.533333333,10136.385866605,24292936.820599839
525,8.533333333,10132.658267578,24652985.002311900
526,8.533333333,10127.260805070,24020447.579022344
527,8.533333333,10129.395650506,24275670.322589662
528,8.533333333,10135.793883541,24617869.352625750
529,8.533333333,10147.460947952,24298747.857893057
530,8.533333333,10150.017387140,24092544.147625636
531,8.533333333,10148.618577615,24360864.463755134
532,8.533333333,10124.694756666,inf
533,8.533333333,10081.444139983,24114103.790589128
534,8.533333333,10023.394885494,24933736.789316379
535,8.533333333,9942.612229446,27706563.510841914
536,8.533333333,9855.320021711,24338570.901513942
537,8.533333333,9754.608468359,24558347.946869314
538,8.533333333,9648.755625656,24300866.008857917
539,8.533333333,9554.626484721,24558536.831538804
540,8.533333333,9476.031387629,24912862.640003987
541,8.533333333,9409.411936033,24333322.777122736
542,8.533333333,9356.171279976,26478515.954693962
543,8.533333333,9314.423912004,24373606.333981778
544,8.533333333,9284.537435647,24481595.926618338
545,8.533333333,9259.604174932,27441031.914693095
546,8.533333333,9241.565380122,24521450.658172246
547,8.533333333,9237.153473254,24344441.942011110
548,8.533333333,9242.310190893,25027181.178836945
549,8.533333333,9256.804012667,24540666.934702270
550,8.533333333,9285.231007263,25130367.025462665
551,8.533333333,9321.739330949,24493003.421321720
552,8.533333333,9366.486771620,24973169.420883041
553,8.533333333,9418.936824593,25167003.118133966
554,8.533333333,9479.070092279,25074286.226041663
555,8.533333333,9536.600204766,24696642.518813644
556,8.533333333,9593.363643266,24764056.226759523
557,8.533333333,9641.934323441,25165387.996111635
558,8.533333333,9684.831489267,25261145.134391129
559,8.533333333,9724.972097819,24883042.952022679
560,8.533333333,9751.450571176,inf
561,8.533333333,9771.820362261,24882934.400551774
562,8.533333333,9786.191345538,24713782.479429863
563,8.533333333,9796.915217666,26264674.082515106
564,8.533333333,9809.197468981,27490900.099340487
565,8.533333333,9825.597147600,24723693.501343645
566,8.533333333,9835.264158311,25137901.580133826
567,8.533333333,9832.533730317,24852714.914096855
568,8.533333333,9816.892562655,25680352.480024286
569,8.533333333,9808.297669028,25106976.972916521
570,8.533333333,9819.366054641,24952684.133675840
571,8.533333333,9844.594986235,24928965.999423817
572,8.533333333,9860.551802510,25190388.532804590
573,8.533333333,9866.014083798,25220995.419107862
574,8.533333333,9858.774091720,25654382.461697996
575,8.533333333,9848.007056977,25198984.126643572
576,8.533333333,9840.815240907,25355244.977350909
577,8.533333333,9840.786482649,25331020.699660167
578,8.533333333,9847.613299433,25490800.987253670
579,8.533333333,9855.245281179,25590957.997188061
580,8.533333333,9869.241121701,25200531.181200717
581,8.533333333,9892.758055655,25147873.480120063
582,8.533333333,9936.465999946,25125064.487522330
583,8.533333333,9998.659813821,26670549.351333313
584,8.533333333,10068.709402925,26368392.198891077
585,8.533333333,10146.622817762,25197999.819393534
586,8.533333333,10229.589123695,25267438.425861813
587,8.533333333,10303.617602432,25260050.792469773
588,8.533333333,10364.780518551,25160930.357331567
589,8.533333333,10396.870378093,25434511.665569559
590,8.533333333,10410.636038301,25448690.305539694
591,8.533333333,10413.110203371,25291339.020658478
592,8.533333333,10408.758481421,25402387.289962277
593,8.533333333,10384.224520887,25518025.871455483
594,8.533333333,10336.077074080,25141258.316414345
595,8.533333333,10272.269125910,inf
596,8.533333333,10196.210270453,25669955.732579507
597,8.533333333,10120.892989404,25440068.216186717
598,8.533333333,10051.291769546,25331722.326219521
599,8.533333333,9975.706924195,27117992.189144567
